Course code,Course Name,branch,semester,LTPSC,faculty,strength,type
MA161,Statistics,CSE (separate),1,3-0-0-0-2,"Dr. Ramesh Adke",60,core
DS101,Introduction to DS and AI,CSE (separate),1,3-0-0-0-2,"Dr. Abdul Wahid",60,core
MA162,Probability,CSE (separate),1,3-0-0-0-2,"Dr. Chinmayananada",60,core
EC101,Digital Design,CSE (separate),1,3-0-2-0-2,"Dr. Prakash Pawar",60,core
CS161,Problem Solving through Programming,CSE (combined),1,3-0-2-0-4,"Dr. Sunil P V, Dr. Sunil C K, Dr. Animnesh Roy",180,core
HS161,English Language and Communication,CSE (separate),1,3-0-0-0-3,"Dr. Rajesh N S",60,core
PH151,Introduction to Quantum Physics,CSE (separate),1,3-0-0-0-2,"Prof. Ravishankar (CC: Dr. Aswath Babu)",60,open_elective
DS151,Linux for Engineers,CSE (separate),1,3-0-0-0-2,"Dr. Vivekraj",60,open_elective
SNC101,Fundamentals of sensing and Control,CSE (separate),1,3-0-0-0-2,"Mr. Mallikarjun Kande (CC: Dr. Deepak KT)",60,open_elective
HS157,Computational Musicology for Hindustani Music,CSE (separate),1,3-0-0-0-1,"Dr. Chandrika Kumar",60,open_elective
KAN101,Kannada Kali-Nali,CSE (separate),1,3-0-0-0-1,"Dr. Anand B",60,open_elective
CSR101,Leveraging IT for Social Good & CSR,CSE (separate),1,3-0-0-0-2,"Dr. Rajesh N S",60,open_elective
DES101,Basics of Design,CSE (separate),1,3-0-0-0-2,"Dr. Sandesh Phalke",60,open_elective
HS156,Holistic Personality Development,CSE (separate),1,3-0-0-0-1,"Dr. Rajesh N S",60,open_elective
CS151,Introduction to Cybersecurity,CSE (separate),1,3-0-0-0-2,"Dr. Girish Revadigar",60,open_elective
MA161,Statistics,ECE,1,3-0-0-0-2,"Dr. Ramesh Adke, Dr. Girish Reval",60,core
DS101,Introduction to DS and AI,ECE,1,3-0-0-0-2,"Dr. Abdul Wahid, Dr. Girish Reval",60,core
MA162,Probability,ECE,1,3-0-0-0-2,"Dr. Chinmayananada, Dr. Girish Reval",60,core
EC101,Digital Design,ECE,1,3-0-2-0-2,"Dr. Prakash Pawar",60,core
CS161,Problem Solving through Programming,ECE,1,3-0-2-0-4,"Dr. Amimesh Roy, Dr. Annshree Kini",60,core
EC102,Economics/IIIT Introduction to Quantum Physics,ECE,1,3-0-0-0-3,"Prof. Ravishankar (CC: Dr. Aswath Babu)",60,core
PH151,Introduction to Quantum Physics,ECE,1,3-0-0-0-2,"Prof. Ravishankar (CC: Dr. Aswath Babu)",60,open_elective
DS151,Linux for Engineers,ECE,1,3-0-0-0-2,"Dr. Vivekraj",60,open_elective
SNC101,Fundamentals of sensing and Control,ECE,1,3-0-0-0-2,"Mr. Mallikarjun Kande, Dr. Vivekraj",60,open_elective
HS157,Computational Musicology for Hindustani Music,ECE,1,3-0-0-0-1,"Dr. Chandrika Kumar",60,open_elective
KAN101,Kannada Kali-Nali,ECE,1,3-0-0-0-1,"Dr. Anand B",60,open_elective
CSR101,Leveraging IT for Social Good & CSR,ECE,1,3-0-0-0-2,"Dr. Rajesh N S",60,open_elective
DES101,Basics of Design,ECE,1,3-0-0-0-2,"Dr. Sandesh Phalke",60,open_elective
HS156,Holistic Personality Development,ECE,1,3-0-0-0-1,"Dr. Rajesh N S",60,open_elective
CS151,Introduction to Cybersecurity,ECE,1,3-0-0-0-2,"Dr. Girish Revadigar",60,open_elective
MA261,Differential Equations,CSE (separate),3,3-1-0-0-2,"Dr. Anand Barangi",60,core
MA262,Multivariate Calculus,CSE (separate),3,3-1-0-0-2,"Dr. Somen B",60,core
CS261,Operating System,CSE (combined),3,3-0-0-0-4,"Dr. Suneel V, Dr. Vivekraj",120,core
CS262,Software design tools and techniques,CSE (combined),3,2-0-2-0-3,"Dr. Suneel V, Dr. Vivekraj",120,core
CS263,Design & Analysis of Algorithms,CSE (combined),3,3-0-2-0-4,"Dr. Pratik P, Dr. Vivekraj",120,core
CS264,Computer Networks,CSE (separate),3,3-1-0-0-4,"Dr. Prabhu Prasad B M",60,core
HS261,HSS (Ethics & Values) + Environmental Studies,CSE (separate),3,2-1-1-0-0,"TBD",60,core
EC251,Electronics System Design-I,CSE (separate),3,2-0-0-0-2,"Dr. Pankaj",60,open_elective
