Room no,Capacity,Type
C002,116,Classroom
C003,135,Classroom
C004,240,Classroom
C101,96,Classroom
C102,96,Classroom
C104,96,Classroom
L105,40,Hardware Lab
L106,40,Software Lab
L107,40,Software Lab
C202,96,Classroom
C203,96,Classroom
C204,96,Classroom
C205,96,Classroom
L206,40,Hardware Lab
L207,40,Software Lab
L208,40,Software Lab
C302,96,Classroom
C303,96,Classroom
C304,96,Classroom
C305,96,Classroom
L307,40,Research Lab
L308,40,Research Lab
C402,96,Classroom
C403,78,Classroom
C404,78,Classroom
C405,78,Classroom
L406,78,Classroom
L407,78,Classroom
L408,78,Classroom
